FPR,TPR,Threshold,SampleSize,ElapsedTime
0.0031889723279497992,0.21505376344086022,-0.298941,10000,918.9434554576874
0.0037033227034255736,0.21505376344086022,-0.300319,10000,918.9434554576874
0.0037033227034255736,0.21863799283154123,-0.300551,10000,918.9434554576874
0.003909062853615883,0.21863799283154123,-0.300969,10000,918.9434554576874
0.003909062853615883,0.2222222222222222,-0.301061,10000,918.9434554576874
0.004011932928711038,0.2222222222222222,-0.3011,10000,918.9434554576874
0.004011932928711038,0.22580645161290322,-0.301115,10000,918.9434554576874
0.004217673078901347,0.22580645161290322,-0.30137,10000,918.9434554576874
0.004217673078901347,0.22939068100358423,-0.301467,10000,918.9434554576874
0.004320543153996503,0.22939068100358423,-0.302648,10000,918.9434554576874
0.004320543153996503,0.23297491039426524,-0.30287,10000,918.9434554576874
0.004526283304186812,0.23297491039426524,-0.304024,10000,918.9434554576874
0.004526283304186812,0.24014336917562723,-0.304217,10000,918.9434554576874
0.0046291533792819665,0.24014336917562723,-0.304347,10000,918.9434554576874
0.0046291533792819665,0.24372759856630824,-0.305388,10000,918.9434554576874
0.004937763604567431,0.24372759856630824,-0.306866,10000,918.9434554576874
0.004937763604567431,0.24731182795698925,-0.307019,10000,918.9434554576874
0.005143503754757741,0.24731182795698925,-0.308184,10000,918.9434554576874
0.005143503754757741,0.25089605734767023,-0.308637,10000,918.9434554576874
0.005246373829852896,0.25089605734767023,-0.309568,10000,918.9434554576874
0.005246373829852896,0.25448028673835127,-0.310652,10000,918.9434554576874
0.0058635942804238245,0.25448028673835127,-0.311475,10000,918.9434554576874
0.0058635942804238245,0.25806451612903225,-0.312021,10000,918.9434554576874
0.006069334430614135,0.25806451612903225,-0.313167,10000,918.9434554576874
0.006069334430614135,0.2616487455197133,-0.313844,10000,918.9434554576874
0.006172204505709289,0.2616487455197133,-0.313989,10000,918.9434554576874
0.006172204505709289,0.26523297491039427,-0.314396,10000,918.9434554576874
0.0063779446558995985,0.26523297491039427,-0.314561,10000,918.9434554576874
0.0063779446558995985,0.2724014336917563,-0.315872,10000,918.9434554576874
0.006583684806089909,0.2724014336917563,-0.317366,10000,918.9434554576874
0.006583684806089909,0.27598566308243727,-0.317806,10000,918.9434554576874
0.006995165106470528,0.27598566308243727,-0.319066,10000,918.9434554576874
0.006995165106470528,0.27956989247311825,-0.319202,10000,918.9434554576874
0.007200905256660837,0.27956989247311825,-0.320843,10000,918.9434554576874
0.007200905256660837,0.2831541218637993,-0.321041,10000,918.9434554576874
0.007303775331755992,0.2831541218637993,-0.321314,10000,918.9434554576874
0.007303775331755992,0.2939068100358423,-0.322755,10000,918.9434554576874
0.007406645406851147,0.2939068100358423,-0.323422,10000,918.9434554576874
0.007406645406851147,0.2974910394265233,-0.32351,10000,918.9434554576874
0.007818125707231767,0.2974910394265233,-0.324973,10000,918.9434554576874
0.007818125707231767,0.3010752688172043,-0.325082,10000,918.9434554576874
0.008023865857422076,0.3010752688172043,-0.325277,10000,918.9434554576874
0.008023865857422076,0.3046594982078853,-0.325366,10000,918.9434554576874
0.00833247608270754,0.3046594982078853,-0.32574,10000,918.9434554576874
0.00833247608270754,0.30824372759856633,-0.325966,10000,918.9434554576874
0.008435346157802694,0.30824372759856633,-0.326264,10000,918.9434554576874
